TimeStep [s],Np,Nbound,Nfixed,Nmoving,Nfloat,Nfluid
0.800017,29286,0,0,0,0,29286

Pos.x [m],Pos.y [m],Pos.z [m],Zone,Idp,Vel.x [m/s],Vel.y [m/s],Vel.z [m/s],Rhop [kg/m^3],Mass [kg],Press [Pa],Type,Mk,
  1.9934790E-01,  1.3964313E-01,  4.9926508E-02,0,12274, -1.1651834E-01, -5.6521617E-02, -2.4849247E-02,  1.0023595E+03,  1.5625000E-02,  5.1284541E+03,3,1,
  2.0261240E-01,  8.0022953E-02,  5.5103816E-02,0,12182, -4.1059971E-02, -9.7234063E-02,  2.2129133E-02,  1.0017025E+03,  1.5625000E-02,  3.6931875E+03,3,1,
  1.8128841E-01,  1.3530047E-01,  5.0190307E-02,0,11538, -2.1596242E-02, -7.1223728E-02, -2.5808236E-02,  1.0023730E+03,  1.5625000E-02,  5.1581147E+03,3,1,
  2.1317126E-01,  9.0425149E-02,  5.2976694E-02,0,12228, -1.9208089E-02, -1.5662852E-01,  4.8408631E-02,  1.0016514E+03,  1.5625000E-02,  3.5816855E+03,3,1,
  2.1552487E-01,  1.1372012E-01,  5.0333813E-02,0,12895, -1.8887885E-01, -5.3852979E-02,  1.3383273E-02,  1.0021189E+03,  1.5625000E-02,  4.6021743E+03,3,1,
  3.0178383E-01,  6.8392508E-02,  4.7260948E-02,0,13538,  1.6825703E-01,  1.5860690E-01, -7.3394664E-02,  1.0033735E+03,  1.5625000E-02,  7.3548647E+03,3,1,
  2.2986563E-01,  6.6424944E-02,  4.6471354E-02,0,11537,  9.1642039E-03, -4.6369391E-03, -2.5857070E-02,  1.0034457E+03,  1.5625000E-02,  7.5137778E+03,3,1,
  2.2695817E-01,  9.4958782E-02,  5.2132320E-02,0,12205, -1.6947326E-01, -9.7911425E-02,  2.9446878E-02,  1.0013565E+03,  1.5625000E-02,  2.9395530E+03,3,1,
  2.8176063E-01,  8.8754825E-02,  5.5151902E-02,0,13516, -1.0801955E-01,  4.8968136E-02,  2.6014039E-02,  1.0015128E+03,  1.5625000E-02,  3.2796848E+03,3,1,
  2.4616539E-01,  9.5121376E-02,  5.1646415E-02,0,12849, -1.4121918E-01, -5.2935429E-02,  3.2549553E-02,  1.0016765E+03,  1.5625000E-02,  3.6365007E+03,3,1,
