Pos.x [m];Pos.y [m];Pos.z [m];PartOut;Motive;Idp;Vel.x [m/s];Vel.y [m/s];Vel.z [m/s];Rhop [kg/m^3];
  2.9175123E-02;  3.4798330E-01; -2.1007482E-02;107;1;396662;  6.9741791E-01; -3.8749194E-01; -2.9102111E-01;  9.9822064E+02;
  3.9999861E-02;  6.6226119E-01; -2.1003228E-02;107;1;394720;  5.3360063E-01; -4.3407214E-01; -1.5916660E-01;  9.9956995E+02;
  5.1501609E-02;  6.6167510E-01; -2.1004202E-02;107;1;405308;  4.7849017E-01; -2.5732976E-01; -1.4870737E-01;  9.9861847E+02;
  3.1721424E-02;  3.4925804E-01; -2.1002555E-02;107;1;370328;  1.0826949E+00; -3.5766271E-01; -2.5799057E-01;  9.9769452E+02;
  2.9236490E-01;  6.6891909E-01; -2.1002557E-02;107;1;372640;  5.1931393E-01;  5.2606553E-01; -8.4612563E-02;  9.9961139E+02;
  3.2029811E-02;  3.4676924E-01; -2.1001380E-02;107;1;397253; -9.7433299E-02;  3.3504486E-01; -1.3121210E-01;  9.9980432E+02;
  4.9253531E-02;  6.5833461E-01; -2.1005582E-02;107;1;410545; -1.9756067E-01;  2.3667319E-01; -2.1893653E-01;  9.9967719E+02;
  2.9535782E-01;  6.6776955E-01; -2.1001700E-02;107;1;372584;  2.3951267E-01;  6.9450045E-01; -5.4359794E-02;  9.9977393E+02;
  2.9277128E-01;  6.6629118E-01; -2.1001013E-02;107;1;377813;  8.1804559E-02;  6.7756444E-01; -6.4762942E-02;  9.9964258E+02;
  7.8560841E-01;  2.4121337E-01; -2.1000480E-02;108;1;429810;  2.1331480E-01;  3.1552359E-01; -1.6518872E-02;  9.9942456E+02;
  3.6092255E-01;  3.6674461E-01; -2.1001065E-02;108;1;370592;  3.1883189E-01;  2.9920984E-02; -6.7763768E-02;  9.9980212E+02;
  4.9387124E-01;  6.6680360E-01; -2.1000350E-02;108;1;377530;  1.9080073E-01; -4.7399431E-01; -1.3811585E-02;  9.9975629E+02;
  3.4554880E-02;  3.5364202E-01; -2.1001402E-02;108;1;401836; -3.0853102E-01;  7.6986499E-02; -5.4179605E-02;  9.9803967E+02;
  3.6744758E-01;  3.6378223E-01; -2.1001883E-02;108;1;375937;  1.4183667E-01; -4.0058613E-02; -1.1967807E-01;  9.9982233E+02;
  3.6394611E-01;  3.6463422E-01; -2.1000557E-02;109;1;381335; -1.4602050E-01; -7.8177685E-01; -3.0759411E-02;  9.9964081E+02;
  7.5643772E-01;  7.7085245E-01; -2.1000242E-02;109;1;420309; -3.2233864E-02; -4.7552757E-02; -4.3352187E-02;  9.9945874E+02;
  4.1889060E-01;  6.2670684E-01; -2.1000424E-02;111;1;378453;  8.8835609E-01; -2.9069055E-03; -1.8859908E-01;  9.9978168E+02;
  4.1947150E-01;  6.2674218E-01; -2.1002669E-02;111;1;383690;  9.0326834E-01;  2.2447307E-03; -1.9717875E-01;  9.9972168E+02;
  7.9874593E-01;  7.6199299E-01; -2.1000078E-02;113;1;446990;  1.6138181E-01;  2.3475921E-01; -2.5676455E-02;  9.9941638E+02;
  1.9102518E-01;  5.3731108E-01; -2.1001391E-02;113;1;380836;  7.0644665E-01; -5.8826804E-02; -5.8674533E-02;  9.9938275E+02;
  1.8274748E-01;  5.4914820E-01; -2.1000002E-02;114;1;375697;  7.8937066E-01;  1.9626030E-01; -2.9103648E-02;  9.9907135E+02;
  5.9222889E-01;  6.8035448E-01; -2.1000678E-02;114;1;393632;  1.6960640E-01; -1.6735809E-01; -3.1303711E-02;  9.9976440E+02;
  1.9263148E-01;  5.6046891E-01; -2.1002324E-02;114;1;372759;  4.5138264E-01;  1.7192912E-01; -1.7449702E-01;  9.9699280E+02;
  2.9609758E-01;  6.6860092E-01; -2.1000402E-02;115;1;377930;  1.5779984E-01; -6.5405792E-01; -9.9236123E-02;  9.9799518E+02;
